# 
# position measurements for linear hopper
# time, top measured position, bottom measured position
# 
0.0000000000e+00, 2.9891436940e+00, 1.0099734545e+00
1.0000000000e-02, 3.0023298683e+00, 9.8643680286e-01
2.0000000000e-02, 2.9922153305e+00, 1.0225103662e+00
3.0000000000e-02, 2.9712399537e+00, 1.0091906352e+00
4.0000000000e-02, 3.0046806736e+00, 1.0152686629e+00
5.0000000000e-02, 2.9807631358e+00, 1.0363969184e+00
6.0000000000e-02, 2.9970216384e+00, 1.0472877536e+00
7.0000000000e-02, 2.9712596127e+00, 1.0685581904e+00
8.0000000000e-02, 2.9903991830e+00, 1.1168482143e+00
9.0000000000e-02, 2.9700843475e+00, 1.1237304386e+00
1.0000000000e-01, 2.9582014863e+00, 1.1624239186e+00
1.1000000000e-01, 2.9313519487e+00, 1.1896274284e+00
1.2000000000e-01, 2.9171726938e+00, 1.2044879834e+00
1.3000000000e-01, 2.9269244859e+00, 1.2321528910e+00
1.4000000000e-01, 2.9037591127e+00, 1.2759030513e+00
1.5000000000e-01, 2.8890997876e+00, 1.2970461649e+00
1.6000000000e-01, 2.8596536504e+00, 1.3608942834e+00
1.7000000000e-01, 2.8716019937e+00, 1.4112815352e+00
1.8000000000e-01, 2.8465896825e+00, 1.4671985571e+00
1.9000000000e-01, 2.8213067070e+00, 1.5125300618e+00
2.0000000000e-01, 2.8049291584e+00, 1.5437748345e+00
2.1000000000e-01, 2.7913287174e+00, 1.6200249127e+00
2.2000000000e-01, 2.7802881206e+00, 1.6691750048e+00
2.3000000000e-01, 2.7819366854e+00, 1.7300900233e+00
2.4000000000e-01, 2.7483952555e+00, 1.8065577472e+00
2.5000000000e-01, 2.7057847686e+00, 1.8334352525e+00
2.6000000000e-01, 2.7158430922e+00, 1.8968014629e+00
2.7000000000e-01, 2.6779864045e+00, 1.9776244430e+00
2.8000000000e-01, 2.6655249186e+00, 2.0476952979e+00
2.9000000000e-01, 2.6501893950e+00, 2.1049950659e+00
3.0000000000e-01, 2.6058505446e+00, 2.1672157315e+00
3.1000000000e-01, 2.5948379124e+00, 2.2116517680e+00
3.2000000000e-01, 2.5838023839e+00, 2.2991841851e+00
3.3000000000e-01, 2.5478792596e+00, 2.3553960031e+00
3.4000000000e-01, 2.5131414798e+00, 2.4266217670e+00
3.5000000000e-01, 2.5074587743e+00, 2.4833653009e+00
3.6000000000e-01, 2.4920407676e+00, 2.5477717882e+00
3.7000000000e-01, 2.4368712237e+00, 2.6360905894e+00
3.8000000000e-01, 2.4318358484e+00, 2.6911311778e+00
3.9000000000e-01, 2.4054058437e+00, 2.7425973397e+00
4.0000000000e-01, 2.4044052268e+00, 2.8175527510e+00
4.1000000000e-01, 2.3867504783e+00, 2.8976502215e+00
4.2000000000e-01, 2.3455411472e+00, 2.9430747900e+00
4.3000000000e-01, 2.3202144561e+00, 3.0052575408e+00
4.4000000000e-01, 2.3276054212e+00, 3.0814415496e+00
4.5000000000e-01, 2.2978180216e+00, 3.1283785809e+00
4.6000000000e-01, 2.2681352929e+00, 3.2128037945e+00
4.7000000000e-01, 2.2434510817e+00, 3.2699075768e+00
4.8000000000e-01, 2.2169380710e+00, 3.3030140342e+00
4.9000000000e-01, 2.2131046588e+00, 3.3682762776e+00
5.0000000000e-01, 2.1978393839e+00, 3.4059646097e+00
5.1000000000e-01, 2.1813276982e+00, 3.5033678836e+00
5.2000000000e-01, 2.1571481864e+00, 3.5281580825e+00
5.3000000000e-01, 2.1428360921e+00, 3.5582584511e+00
5.4000000000e-01, 2.1294267740e+00, 3.6084499797e+00
5.5000000000e-01, 2.1055129461e+00, 3.6830594694e+00
5.6000000000e-01, 2.0875822294e+00, 3.7202092930e+00
5.7000000000e-01, 2.0907464739e+00, 3.7609301586e+00
5.8000000000e-01, 2.0531533954e+00, 3.7960866069e+00
5.9000000000e-01, 2.0732782423e+00, 3.8186971557e+00
6.0000000000e-01, 2.0383425392e+00, 3.8711777213e+00
